event_id,payment_id,event_type,event_time
cfb5a591-ffce-4c02-a205-0ae745641071,a85c6f39-a658-4543-bb39-9bb34cb1f97e,payment_received,2024-06-16T23:28:29
c7a6f26e-9da6-4368-935d-fa605c4d452b,6f4aaea9-2910-4269-8721-c3260f037e7d,payment_received,2024-10-02T13:06:56
54cd7bec-830a-4048-af66-bb5bbe2ac0d8,2bb44de0-f40a-4b70-bb37-94b5944937dc,payment_received,2024-09-19T03:34:01
20f137f3-e66d-4c07-9163-f2e52e67d097,50815643-80aa-4eca-8cbd-5d3e44bf5b4a,payment_received,2024-03-31T16:55:17
2ff4001d-6c66-45d3-aac2-8802abe0a3b3,b448e7a5-f012-4aba-8030-329eacf0db2d,payment_received,2024-04-25T08:24:29
5300c798-89b8-4e6c-8046-f2094faef543,c9e13c9a-4e97-4910-b7d5-0faefc3622cd,payment_received,2024-12-10T22:50:01
a59b324a-ab59-4a72-95d4-d02b5d7bd3c0,1fd39d4c-7f16-4562-b7a5-6d2bbe287792,payment_received,2023-05-23T21:08:51
07a4b265-80e4-4296-bb6a-0b686dcf25a7,b0817905-f807-4714-92f7-d229478ffbca,payment_received,2024-12-30T19:28:56
200a2a08-b560-4921-b794-49e290a3a56a,fdd3e380-6bd7-4487-a515-5beed3f8164f,payment_received,2023-12-19T15:05:11
1472d909-d3eb-4c3a-bf76-5d169e00c338,3544559b-5caa-4054-bb02-92e35126fb73,payment_received,2024-01-16T09:55:22
5513369c-837e-422f-b480-b825698aab19,81973686-b625-4253-b59b-f7a53ede5155,payment_received,2023-12-18T14:36:42
baaf5f22-47a2-4aad-b2c9-8269c1ced614,b3659f7b-6b12-4965-b145-ed4fb7ccb682,payment_received,2024-12-07T11:05:38
b7d79fac-ed1b-4a05-b948-764921ed75e0,1031e0d0-a93a-4d29-a4d1-8926412139ee,payment_received,2024-07-13T08:36:54
ca82b851-58c5-4491-a39c-7356b1068c52,b2c7c4c4-9232-4618-9b90-dd86bd990908,payment_received,2024-05-27T00:54:04
290cf978-3fb9-444a-bce9-efbd88d29026,d5049e25-2f7b-4e99-995c-b9eb935bcbb5,payment_received,2024-08-20T21:45:16
54223ef1-e31e-4ce3-9796-4ed1351f6f40,d5049e25-2f7b-4e99-995c-b9eb935bcbb5,chargeback,2024-09-18T18:01:21
8468adb2-11df-419d-89eb-b0b46c122add,8a945b39-f63d-46d7-902b-a424dcce4d7a,payment_received,2024-02-07T09:59:41
0ccda40f-6e52-44ec-80a9-38fe43214f45,cd77f648-9fd0-4990-ade0-21eb2d63b5ad,payment_received,2024-09-16T18:27:10
af81c98c-e5d4-47e8-851d-538bd43d0ad3,d094462e-c9df-48ff-a42a-3303ac26e0da,payment_received,2024-04-29T20:47:59
3e65f9f5-1f6a-430e-ab10-2e1c5aabc36a,b723dafd-1f9c-463f-b1b7-0eac0ca157a1,refund_issued,2024-06-20T03:26:22
146c712d-258d-464d-9b83-e4d436423240,aea4505b-9cfb-4841-99da-713552228243,payment_received,2024-02-09T07:35:57
5815ea21-b9d1-4b36-90fe-d54710baab0b,1dd82930-c61d-494c-bd8f-26886f33d5e0,payment_received,2024-12-08T14:52:49
905a999a-5161-430d-bdae-60ba1b4daca2,bdae629a-bb96-4f87-984d-7cc883d6f83a,payment_received,2024-07-15T23:13:50
460bf250-af6c-46f3-be16-06b7723abddf,e6b4e80f-8b52-4775-84ef-4b8436de93f1,refund_issued,2024-06-27T21:03:29
233b6f14-f6df-4622-961d-ad6249ed1a73,3b2f5828-cb9e-440d-abeb-d0d907593689,payment_received,2023-11-05T12:24:47
a5f5268f-15ed-436b-ab43-adc965123de4,1db46ab8-4998-4b5a-a01e-498892e80111,payment_received,2024-07-28T11:44:09
0dd06179-6292-40e1-a215-7b47d9182ea0,9a9a4486-3e1e-4c73-a3dc-b10b9f81f5ad,payment_received,2024-08-29T20:19:11
825b4f8a-0797-4da6-abd3-37674ec9f997,9a9a4486-3e1e-4c73-a3dc-b10b9f81f5ad,chargeback,2024-09-25T07:06:53
72a2d105-61cf-44d8-8d67-b0e531ee956d,c3451233-26a2-4142-af02-10d43c4ecb57,payment_received,2024-03-19T10:30:37
74cd940b-7310-419d-82dd-2aa3a7c5812e,f8592f8b-da5f-47f7-a86c-fb7151e42248,payment_received,2024-03-04T00:25:58
b33a9ce8-f03f-4653-94a6-388c09e5d777,2a5ba871-38ca-4a11-8e36-702fd290a2b3,payment_received,2024-09-11T17:04:06
2f43e812-a7e2-480d-93cb-266fed1a40db,449e864f-5b1b-4f8a-83e8-10c4f9a4c3ac,payment_received,2024-02-13T08:23:48
8ca8e1c2-5c78-47b7-b2bf-f04868cca10c,9e26e3e7-4851-4943-a47b-6b0925253f01,payment_received,2024-07-17T15:28:35
0cc648d1-0485-41ec-9b8a-4cc99b54913a,178ebe62-e451-478a-a49c-18782fbdac3b,payment_received,2023-10-16T07:27:14
5d29e76b-157b-4dc5-9ac9-107da956a930,ec011128-1297-4b09-8968-1463f62f91de,refund_issued,2024-08-02T21:51:39
3487f980-592c-4ec6-b0b3-8903c1c46a7f,b3d7ec24-1a12-45a0-b589-1c79c6414aaa,refund_issued,2024-11-11T13:47:32
98893394-03ce-4557-8fa6-e8885d779513,ee542472-b668-4478-98a8-2be27818dfc3,payment_received,2024-12-21T01:55:06
435c56be-df32-49fe-90b9-96f8f68e789c,3c8a7fca-0edb-4180-845c-8cb8c125629b,payment_received,2023-07-24T04:29:07
1e8bbc50-f918-48f4-9c25-6de498cf2cc0,8e9af9ff-5d28-40fd-a016-8cf0c8155f3d,payment_received,2024-04-19T13:26:10
84423ff0-0ce0-41eb-b36b-0bba1133b7d0,4fbba7b3-8796-4ba8-9da6-f84f3ad4a33b,payment_received,2024-08-09T06:54:58
5161551c-e297-4cb8-a86c-786a4d13e6e5,16210127-b46c-4b67-a0a9-5d34ac037416,payment_received,2024-12-13T07:22:11
