payment_id,user_id,payment_date,amount,status,gateway,failure_reason
a85c6f39-a658-4543-bb39-9bb34cb1f97e,58c391b3-2da9-4cd7-8e31-d9011b6dd022,2024-06-16,2626.9,failed,stripe,expired_card
6f4aaea9-2910-4269-8721-c3260f037e7d,f31adb25-6742-4fca-bbeb-134fae349600,2024-10-02,2028.76,success,paypal,
2bb44de0-f40a-4b70-bb37-94b5944937dc,48122afb-a966-4b03-9743-20f3e54ed982,2024-09-19,286.79,success,stripe,
50815643-80aa-4eca-8cbd-5d3e44bf5b4a,8bfe86cd-b2ed-4bcf-922e-3958e54165bb,2024-03-31,7964.19,success,razorpay,
b448e7a5-f012-4aba-8030-329eacf0db2d,95233978-1250-4a68-b0fc-09adcbe06ed1,2024-04-25,662.13,success,stripe,
c9e13c9a-4e97-4910-b7d5-0faefc3622cd,c4b386cf-549a-4530-a5bf-1565af9d3d15,2024-12-10,7108.94,success,bank_transfer,
1fd39d4c-7f16-4562-b7a5-6d2bbe287792,ce2090fa-0501-478f-91db-6c0fbefa7705,2023-05-23,6597.31,success,paypal,
b0817905-f807-4714-92f7-d229478ffbca,a72d055d-8898-4ca2-a8de-3b5bd17cfed7,2024-12-30,1196.37,success,paypal,
fdd3e380-6bd7-4487-a515-5beed3f8164f,9cd9a2fd-8cc4-4418-89b3-59c73d39cc36,2023-12-19,848.57,success,stripe,
3544559b-5caa-4054-bb02-92e35126fb73,43d1605a-0544-4475-95f1-b6ddb9ed5442,2024-01-16,6708.03,success,paypal,
81973686-b625-4253-b59b-f7a53ede5155,eaa5a6e3-c7cd-4f44-bb94-84dcf92265e4,2023-12-18,2844.15,failed,stripe,card_declined
b3659f7b-6b12-4965-b145-ed4fb7ccb682,84ca81c4-fddf-4f32-a7c9-751535097695,2024-12-07,9559.5,success,stripe,
1031e0d0-a93a-4d29-a4d1-8926412139ee,c4948235-ee24-42be-a177-90298f31cf81,2024-07-13,9292.0,success,razorpay,
b2c7c4c4-9232-4618-9b90-dd86bd990908,3ee3b2d2-7120-4c8d-a9d8-f54d16ba856f,2024-05-27,1523.34,success,stripe,
d5049e25-2f7b-4e99-995c-b9eb935bcbb5,ee0a20fe-9772-4322-b622-4466c5956f37,2024-08-20,9133.83,success,stripe,
8a945b39-f63d-46d7-902b-a424dcce4d7a,0609bce9-b527-42e9-bf14-8ed206b120ea,2024-02-07,5755.31,success,stripe,
cd77f648-9fd0-4990-ade0-21eb2d63b5ad,22722f0d-c22d-4943-b5e2-b672f0b7e39b,2024-09-16,3366.02,failed,razorpay,insufficient_funds
d094462e-c9df-48ff-a42a-3303ac26e0da,e84cacca-9552-41d6-9a19-85733ce64339,2024-04-29,9054.71,success,stripe,
b723dafd-1f9c-463f-b1b7-0eac0ca157a1,fa783371-d7a1-4189-a7f5-fd6901347998,2024-06-20,4956.73,refunded,razorpay,network_error
aea4505b-9cfb-4841-99da-713552228243,caa48538-7845-4a5d-92ee-468dc54860c2,2024-02-09,9545.14,success,razorpay,
