application_id,user_id,company,fee
fb07cb0c-0f50-4629-b918-400a4d86452d,a93675f3-dd14-4ac7-a0b8-eb980efae119,"Choudhury, Bakshi and Maharaj (FinTech)",2661.95
d0416eb5-e5d4-4396-a817-1046d4225c90,d4384598-0047-4dc0-971f-add8cac1e298,Kapoor and Sons (Gaming),2796.07
462899a0-7d98-4fc7-90e9-11bf2abd3f66,3da1f4b0-fc44-4082-936f-e6292f15cfff,"Chaudry, Chahal and Sami (Gaming)",2370.13
5a87300d-ccec-4355-bf68-60c387b78692,8a4c2bd0-6fdb-4018-ab87-a273b488e082,Balan Inc (Media),2639.51
72af870c-03f4-4f3e-98ef-c8975657f0c6,ebdf8915-ad3a-4fc2-94f9-1eb7bfe9bf3b,Kaul PLC (HealthTech),1427.63
75db3b70-c0c2-4e22-989e-e92fc1533cf9,7282e6c9-5713-400d-a595-c735535aecbe,"Bala, Issac and Saini (Gaming)",1870.43
e8789a20-d24b-4d0f-a543-631884c1ecea,0f2b9273-e6d2-4363-9e3f-b46168c1af78,Sen PLC (Media),3754.9
b528b472-e92d-49ee-8539-6a4ad9214433,6421696d-dda0-4a58-b523-fad8349270a2,Ahuja-Dutta (CleanTech),4980.92
904a71c7-75c8-4134-9580-ddbec4be2d9e,96d45d65-a928-4794-95ea-911aa308d0d4,"Sami, Oak and Mall (E-Commerce)",4617.86
7a993d3b-e767-4b6a-b534-b5e662bc6294,957e0894-37fe-44e2-8b5a-d92a8dde2e02,Kale LLC (SaaS),257.61
97f97cf8-f107-4611-b854-8276c5d04274,b55866f8-a160-465d-b629-3944faa6a731,Chanda Group (FinTech),2934.43
b8de15b1-57ea-4847-9aab-5b45ecca4892,b4638d41-1a99-40c3-9095-cd18b6a8ac0d,Parmer LLC (EdTech),4516.03
f35c0066-231f-495b-8612-aa413a02abd6,c92aad00-d72a-44dc-9ebb-1c1471646ee1,"Lalla, Bassi and Sharaf (Gaming)",4107.99
0b0f320c-1ce6-4519-8e96-ad914d7ce119,9ed8b5a7-f6d9-4706-83f7-2d1d795b6105,"Dash, Radhakrishnan and Brar (Logistics)",275.59
2b4340f9-47dc-47a1-8a4f-23f504a3edce,9da78b10-2e6e-4986-a54b-eba2ad3be61e,"Memon, Pathak and Handa (SaaS)",4288.72
679f8ae7-a3de-42bd-aa19-58b361fccc9c,144aab96-a6ff-41f7-8da5-c2ea2bdfd80d,"Boase, Bath and Kari (SaaS)",2045.29
6b7b113b-886b-486b-9c67-1d00f1736da4,8f2b9739-e69a-4678-934c-29dfd69b73dd,Buch-Kaul (HealthTech),3687.75
8d027571-6896-47c1-8707-5a0c6c460506,0b67f098-a868-4075-9112-a9ebeff07d9d,Rai LLC (EdTech),4208.39
8071b2fb-8ea3-4e8a-b72a-f9bfe7434cf2,b80dd082-ef30-4577-91fb-1e8d4952f6c6,Patla-Gaba (Gaming),3869.64
23a27679-e8ff-4478-9ca6-b763a6671a02,35fa054a-f8ce-4dc6-a9ee-2e3341f85e85,Pant-Kadakia (EdTech),1528.71
a86d2435-e2b9-4567-92f5-e193a2782cb7,e15204c2-a75d-43cb-8cbc-9fb4983b27f1,"Loke, Bora and Garg (HealthTech)",4549.21
83ffde49-7be7-4513-ad09-fc74b6578339,c3ffea0c-85da-4600-8070-ac0aa481ddfb,"Konda, Gade and Shere (E-Commerce)",3810.23
167d2b99-114a-45a5-88ce-6a34e2e40f11,2638a703-f8a3-4608-ba41-65f045cea120,Madan-Kanda (E-Commerce),4702.37
6cd35076-67e4-4bca-a497-ef1c94f6368a,e26893bf-d978-47dc-8518-83b5d3da08af,"Nair, Bhalla and Karnik (EdTech)",3274.42
1c5f71c6-0898-4eeb-8ec6-703a3a074b9f,741b5956-8ac1-41bf-8d09-cc65b3888ec4,Mutti Group (EdTech),2215.67
ce9ed86f-9917-4d79-8a03-b973f205da2d,6721f64d-42db-4ba1-96fa-5a6aa5eebead,Bhatti-Kakar (FinTech),2924.91
51b443b5-84ab-4d4f-b8d1-a56b44e6274c,634a81a6-a751-43d5-9277-a0b4612eceb1,"Murty, Kala and Tata (HealthTech)",3385.77
df51fe2f-3c1b-4877-aefd-1ce6b7f392b3,45656a76-79f9-4f92-9d33-341b05d543d9,Shanker-Dhar (SaaS),3370.18
976242de-ed1d-48db-b115-7976cf1bf8e2,c2d43a4f-6431-464e-ae45-2ef82facfeb0,Dewan-Koshy (Consulting),2158.9
4510dd35-235e-4821-9c78-1f80869aa61b,cdde1e0e-8e41-4e35-a6b6-2e2d5ae4ac9a,"Yohannan, Lall and Sangha (Gaming)",4919.28
b1ad7429-a2d9-4d7f-bb5a-0900586e0329,15af48dd-0aa9-4d4a-b062-4465561b5b69,"Rastogi, Pathak and Kanda (SaaS)",766.18
2fdca787-61fe-4f07-ba60-493fa4d8c72b,4df040bd-c72e-489c-8b29-c398f68625d5,Upadhyay Group (Consulting),500.13
45b88601-5d2b-4322-9fbd-f33599b66926,217645b9-ff7d-4fe8-a780-f75267e52da0,Batta Inc (Media),3689.2
5737bc4f-8767-4686-aa04-c4049295008d,6c743c38-d642-4565-8760-501ff5a110b3,Dutta Ltd (SaaS),2028.79
76edb3ae-18aa-4bf0-af4d-c44fbb402a09,518e2ccc-2d8c-45b4-bfd6-0cf5882aa155,Bhatt-Rajan (FinTech),325.4
37d06abe-674f-4c57-bbae-201caa7bb189,f3b48bd0-a465-42f0-8e06-1088dd67441d,Sidhu-Wadhwa (Gaming),3050.88
744fbaeb-58e7-423c-a3a5-de13ac90d1c0,aad6b411-068d-464b-99e3-70acfcdba012,Apte-Contractor (CleanTech),3720.57
3e55c781-4637-4a08-a6ca-522b542f2a69,fef8a780-4ab4-441c-9a58-bc688cf6c4b8,"Yadav, Loke and Oak (Consulting)",1455.25
ce78b2ea-bd18-405b-9c13-021093e8f535,a115aaa0-5b1b-43b7-9cdb-35b1032e2b62,Memon Group (Logistics),3474.3
23f5a902-3813-48d5-8db6-d07b125a1009,87eb9b5d-4195-4ad7-a7e4-9a6789c00878,Setty Inc (EdTech),1776.33
7a268cb9-ac21-480e-8b51-f45c943316e6,7f1e309f-774a-40a5-8720-4b1b65577454,"Lall, Tella and Gokhale (SaaS)",3156.89
fb7b89dc-f2ef-450d-8829-b4948b270410,326f8250-6caa-4777-94a4-1b1d9a475b60,"Cherian, Misra and Tripathi (HealthTech)",2572.67
002188e9-7c6c-41b0-bf78-00e53d3d5116,98e10640-20a8-44ea-a33b-4fd90885eddd,"Issac, Dua and Prakash (EdTech)",4997.36
2b602880-e8e7-426e-9e9c-947244f37b28,bd4e4f34-c5e8-4eab-8a47-fb71499875c1,Zacharia PLC (EdTech),3185.8
e31a1588-e2e0-43f1-a79d-6bf8a969f75a,ba66ef0b-49f9-4b67-a541-e238ba32aeee,Naik Group (HealthTech),2282.27
f3329255-23fb-48f7-8ce6-0260e73a3685,87091626-c18b-4951-b7d6-87156a9f5780,Choudhury LLC (Media),3062.32
3322234f-4c2b-4227-80ea-62dc6ae46500,dadf8591-b5dc-4bd8-b28c-01f01d3a121b,Khatri-Bhardwaj (Consulting),2601.56
67ad639a-4fb9-4909-a3b7-491d848080e4,e3317bc7-e0a7-40ef-95f9-266327ce623d,Brar Inc (FinTech),3273.36
