user_id,signup_date,cohort_month,active
544f5a63-974d-46f0-a431-2145ee06b200,2024-10-16,2024-10,0.0
382523a6-1626-4a6b-982e-20d9827c142e,2023-09-08,2023-09,0.0
9b8ccb4d-cdef-4cf2-be5b-534c438cbfe7,2024-11-23,2024-11,1.0
d6948009-a7b8-438b-a8e0-9cc44336f31f,2024-08-27,2024-08,1.0
89681e34-3687-4131-b3d3-e258f7f800cd,2023-08-12,2023-08,0.0
45a90139-e26b-45c7-a06a-53a55bf8d624,2024-07-28,2024-07,0.0
43fe8738-e8ae-40a8-82a0-4fc384985d08,2024-07-12,2024-07,1.0
b3b358b0-489e-440c-8827-c8a1587ecbe8,2023-10-12,2023-10,
d876d9a4-c844-43a3-a2a3-4df98b7e202f,2023-06-13,2023-06,1.0
78ec8adf-a30f-4e51-b4d8-6a199f7b9fca,2023-06-09,2023-06,0.0
a040b269-c2c3-4c23-8a46-9f7a7a7ce8a7,2023-04-15,2023-04,0.0
12be0363-365d-48a3-9539-931cb5ec5306,2023-12-19,2023-12,1.0
c8e7cdaa-cbbf-4bdb-9457-c2601644532c,2024-04-15,2024-04,1.0
35df73f1-9004-4433-949b-c51caebd22d5,2024-01-23,2024-01,0.0
90d8ebc4-9e1b-43b9-a2b2-f17785aab18e,2024-10-05,2024-10,1.0
0725bd99-fc72-439b-9d0e-3a65331cff89,2024-08-14,2024-08,0.0
7efcf4c3-6621-4213-8750-9ef7fabf57a9,2024-11-08,2024-11,0.0
d9c332ea-3c52-499b-9d41-1009456193d8,2023-03-23,2023-03,1.0
9e6a41d8-3989-45ca-893f-d8af099496bf,2024-01-25,2024-01,1.0
011502c8-8c8b-42b4-9c24-eaa246884015,2024-01-09,2024-01,0.0
dbf3e9cc-9330-4c80-9f2a-ee2767cfab07,2024-11-17,2024-11,1.0
1fc55804-1e91-4934-9801-023ac289c47f,2024-10-25,2024-10,0.0
32b2c636-f254-412a-97f9-785165e67fd2,2024-06-30,2024-06,1.0
c3556043-7ef1-4be8-8c5e-3419c900a1aa,2024-01-24,2024-01,1.0
c317a127-bbfb-4cc2-a20a-2637c89896ab,2024-12-05,2024-12,1.0
b35f7097-851d-42e4-a0e7-7779d29061d2,2023-02-27,2023-02,0.0
49d8b283-f5f3-43e0-b3e3-f6bc3864b263,2023-11-20,2023-11,1.0
f74bcedc-3834-45b2-9a08-5bde52ea2425,2024-08-03,2024-08,1.0
8d25578e-d142-411d-a337-e15363c10007,2024-11-02,2024-11,1.0
d75c8d4c-5fb2-4c87-97e3-f1e6977506c2,2024-10-20,2024-10,1.0
54a666c4-fd01-4eaa-9a24-13c27ed2ea0a,2023-09-10,2023-09,1.0
1355b05d-706b-4075-9fb5-53ffd4209c1f,2024-08-21,2024-08,1.0
5d92ce02-6854-482a-9220-d6e4d96beffe,2024-01-06,2024-01,0.0
be65e631-a11c-4af8-8d27-ad911342a131,2024-06-05,2024-06,1.0
f4a05c8a-fb9d-42f5-bf31-1f9007282803,2023-04-23,2023-04,0.0
2661c59c-21be-4744-93f0-cf9d451673ab,2024-11-27,2024-11,1.0
8bd1d042-bbcf-4772-9181-2b90c2f8ef25,2024-01-26,2024-01,1.0
48520da7-54ae-4885-930f-a8938aa14d3c,2023-09-15,2023-09,1.0
d12dee31-4ee9-4c43-86f6-d54da5e57fcc,2023-01-12,2023-01,1.0
a9391630-7c9e-4c32-90d8-496a4c9dbdc2,2024-07-03,2024-07,1.0
7e726309-1fab-4fc2-8278-f9118a631028,2023-12-15,2023-12,0.0
8296449f-8f66-4111-a835-3562a90def09,2024-04-09,2024-04,0.0
354ede52-8edc-4051-beea-1cb88f592da3,2023-09-27,2023-09,1.0
87091626-c18b-4951-b7d6-87156a9f5780,2024-06-03,2024-06,1.0
0e4bdc65-3c5e-4786-8052-82f3fe39f36c,2023-11-02,2023-11,1.0
bc25a1e8-90cc-403f-9326-bb3a290f43b2,2023-07-23,2023-07,0.0
