failure_id,payment_id,user_id,failure_date,failure_reason,gateway,amount,recovered,recovery_date,recovery_amount
480f97de-8af1-4294-b9bc-e8d11d51d41c,a85c6f39-a658-4543-bb39-9bb34cb1f97e,58c391b3-2da9-4cd7-8e31-d9011b6dd022,2024-06-16,expired_card,stripe,2626.9,1,2024-06-17,2588.19
6620a8ca-c468-46fb-8518-4eb9603babc3,81973686-b625-4253-b59b-f7a53ede5155,eaa5a6e3-c7cd-4f44-bb94-84dcf92265e4,2023-12-18,card_declined,stripe,2844.15,0,,
73c8da16-e88d-4bd5-b89f-49fbf2cdc5b2,cd77f648-9fd0-4990-ade0-21eb2d63b5ad,22722f0d-c22d-4943-b5e2-b672f0b7e39b,2024-09-16,insufficient_funds,razorpay,3366.02,0,,
eeda9bed-388e-4df9-9542-34a3851927a9,9e26e3e7-4851-4943-a47b-6b0925253f01,1420093e-818d-4c53-a66e-7617913600c8,2024-07-17,insufficient_funds,bank_transfer,5410.96,1,2024-07-23,5400.41
d0641354-f783-4d28-ac95-f6e531e2ebd5,3c8a7fca-0edb-4180-845c-8cb8c125629b,4df040bd-c72e-489c-8b29-c398f68625d5,2023-07-24,bank_error,razorpay,2282.67,0,,
90817992-6b72-4348-a925-7035a5188217,5ede905d-9b89-4101-ab5d-627fe27b6c6c,72bacec7-70f7-4a57-8858-77c164668e95,2024-11-21,network_error,razorpay,253.74,0,,
687e7c83-f692-4aa8-8e6d-7c0f0b1cce15,2f28435c-12a2-4694-86a6-26a834f06fda,cfeb60c0-3e5e-4b21-ab50-21f951255c2c,2024-12-17,fraud_detected,stripe,9255.13,0,,
eb296fe3-94f6-4dc0-be96-6cb64ccb807c,3166d334-8bcd-48fe-83c3-591b0f8fec1e,a731d4e6-a1ca-46b4-8084-66fb34dc5b2d,2024-12-30,card_declined,stripe,3327.71,0,,
45389f1c-0eff-4370-b537-95614429eb1e,06ff1f08-1016-4b32-98f0-37ad70ca1931,e64720a7-bb2b-4586-a0c3-008aa372f3c7,2024-11-17,bank_error,razorpay,6415.19,1,2024-11-18,6335.99
7a3a72ff-91b8-487c-86a8-acb106c91133,e49bb75e-81e5-445b-a323-b39833ba30ff,2c35c40a-db1f-438c-b886-9b3c24bb3a86,2024-09-17,gateway_timeout,bank_transfer,6539.7,0,,
fa68a136-7047-413c-8f96-e0a12d73eadf,f82991a7-8a2c-4ce7-9d26-0a19f2c26004,41f91479-f650-4ec8-a789-06a3dba5a653,2024-12-26,card_declined,stripe,7383.03,1,2024-12-31,7213.39
8eac6aeb-871c-4743-8184-b9b8c32cd3fb,29787ea8-94a3-49d8-919f-17ffa52f8164,3339a239-8664-4c06-8ad2-ea62a2c57143,2024-10-07,invalid_card,stripe,2330.83,0,,
51c441c9-c8fd-4c47-a2a9-457975b47b87,bfceae0d-3022-4c13-94e6-89610dfed378,39b0c8c0-3ea7-4f32-96c0-ab65815c0d48,2024-10-31,network_error,razorpay,9003.57,0,,
f6c55669-f829-4fa7-b159-79b670e5c314,390d797b-9f26-4276-a271-3ab10aca72c6,6a896b06-f0a4-4efd-9529-03658abf2d05,2024-12-31,network_error,razorpay,7311.58,0,,
6b6fc45c-5120-49a7-80b8-e75c98b1c556,111ee92e-d32c-4fde-b0dc-f478fddb3d59,55982ba9-eb5f-49f9-8214-a14fbd5df6f0,2023-12-26,insufficient_funds,razorpay,4514.13,1,2023-12-27,4375.97
3abacf55-edbf-4a64-8534-483aa94494bd,b8cd59d6-1d68-4d2f-97cc-8f72320a4ed0,798cc1de-7c63-4dd8-8487-6df6b9b04346,2024-12-06,expired_card,stripe,4496.78,0,,
e2e0b025-c7b5-4f0f-a4c3-6f48231eff2a,d82e2d78-b9e9-4163-84ac-bdffa1ff2662,cf6768d6-cc3d-479d-85ac-c89813094fba,2024-07-22,expired_card,stripe,9705.57,0,,
4321c658-0697-44f0-89a6-14588b91518b,476eb059-1bff-43bc-97ed-dd2cf7fdc66c,fce9e989-3c88-434f-94e2-38e7907c54f8,2024-12-25,invalid_card,paypal,3107.75,0,,
8c92b36d-06d7-4aa4-8429-90a7a221e21d,590097e8-8702-46ee-a57d-1c62fcf62578,7e32fe4f-c498-40b1-a8c3-279859c7720d,2024-07-07,gateway_timeout,razorpay,8284.54,1,2024-07-11,8215.18
903b4ef2-371e-44f1-8ab4-89c1217491cd,6dba7c02-7508-4981-83c9-69ca0e6d0e62,40e4f813-a21c-4b6f-8963-cad4f73ba526,2023-10-23,card_declined,stripe,7596.61,0,,
f58050d8-d967-4217-8e1e-e721f4f1709b,c03a4d20-1d74-46fb-9bb6-96ada710717c,36915cd4-f4d0-4a30-b3e8-54840da0d9fc,2024-11-12,insufficient_funds,bank_transfer,4798.68,0,,
18396b2a-ae52-4209-b9b8-4aed1d4a1c40,69646472-cd35-47b2-9461-e30d50233bff,91296de3-edf0-4d20-9269-1f14edd33fa5,2023-10-20,network_error,paypal,8043.12,1,2023-10-26,7680.25
47593bdc-fa1b-4fa9-9e08-b7cb60a52eaf,358a5243-98d7-4188-9a11-9ab8e661d8d5,6429e972-5220-4e3e-974f-1b7a1c87f3bd,2024-09-26,gateway_timeout,bank_transfer,14908.42,0,,
33da4eba-dbec-454f-a87d-72288ed7c84c,28981bce-c2cf-4a21-84cd-011eae7e927b,0d0700fc-6272-4889-a178-93802d533ae2,2024-10-26,network_error,paypal,2856.33,1,2024-11-01,2840.28
aa26d641-2ba8-455a-9586-6ccea4471b7a,2b7999b0-f87b-40f9-b350-e00cc9b1d244,ba7eef8f-ab5b-486b-a52c-94f1a9e1b469,2023-10-13,card_declined,paypal,5030.54,0,,
cb013243-64a6-474d-acaa-aca732b17c95,d653cedd-5faa-448f-83d9-078dc728f2e5,4a63365b-b5b6-4f26-9450-b8f9e037694f,2023-06-16,gateway_timeout,bank_transfer,1278.43,0,,
94294971-bb2a-434c-bb0f-14f04105dec7,3cb88188-7257-4df7-8579-e3db22160eea,22e944bb-2662-4998-aeea-d15c016bfcaa,2024-11-03,expired_card,stripe,5730.67,0,,
e9475b66-e09c-4450-b403-662af11acf30,ccd822d8-af70-4799-92e1-5643499edfa1,f344d06c-2e1d-4825-a20c-117ccf5dbb21,2024-11-03,bank_error,bank_transfer,691.83,0,,
38db6522-9afb-421e-82ee-e730e88ec545,5aad3268-3065-4481-b648-ea0a2487393f,9a9b9f46-7d04-4329-9445-66aa6f898cd2,2024-09-07,network_error,razorpay,19459.84,0,,
19738096-ee43-41b2-9cbd-abf73381fc05,7f4c003f-bc54-4792-87ff-74180ad8b2ac,5ae9d529-e7bb-4f68-b3ec-27b44d153137,2024-07-30,network_error,razorpay,9014.69,0,,
8e18743f-07a3-4a04-870c-2429f9d0fd3e,3b3f7aad-6fe0-43a2-b561-8a05a88aae89,b2e40ea0-03fd-43a5-a2e7-b6938d6d319e,2024-12-22,bank_error,razorpay,4028.26,1,2024-12-26,3972.51
11367be7-35ad-4b75-bb29-a72aa2e837e6,a920c6c9-2b91-4727-9ba2-5697f263828a,6c743c38-d642-4565-8760-501ff5a110b3,2024-12-27,card_declined,stripe,2455.96,0,,
ae4eed10-ec73-4092-b405-8003d53a010c,29cf9f9f-e231-47f7-b064-f60c1889e398,a1647acc-4e41-4c8d-892d-a8cdc967f602,2024-01-02,bank_error,bank_transfer,3043.49,1,2024-01-08,3001.9
